,Property Name,GHGI/GUI
52,111 Cummington Street (664-666 Comm. Ave),0.37634941071605427
54,300 Babcock Street,0.11285620238878963
55,605-615 Commonwealth Avenue (2 Silber Way),0.0942084942084942
56,622-640 Commonwealth Avenue,0.12339754575992323
58,64-86 Cummington Street,inf
63,785 Commonwealth Avenue (1 University Road),0.0904301328929779
65,871 Commonwealth Avenue,0.0810122675719466
141,915 Commonwealth Avenue,0.14624323625032343
192,Hotel Commonwealth,0.13478668541959676
199,"285 Babcock, Case Center",0.09864815491413957
200,925 Commonwealth Avenue,0.14906027219701878
365,2 Cummington Street (23-25 Blandford Street),0.14185621947007448
366,20-28 Cummington Street (24 Cummington St),0.16265302225119685
367,30-38 Cummington Street,0.1425406444466165
370,582-596 Commonwealth Avenue (590 Comm / 712 Bea),0.11462673532140973
371,6-8 St. Mary's Street,0.13265704252828714
735,10-18 Buswell Street,0.05913235700469743
739,22-24 Buswell Street,0.0677037652525812
741,580 Commonwealth Avenue,0.14690579665789313
1012,560 Harrison Ave,0.1892147587511826
1013,580 Harrison Ave,0.12164463547157572
1014,Biosquare - Phase I,inf
1099,100 Bay State Road,0.1422324619146135
1105,577-599 Commonwealth Avenue (595 Comm Ave),0.21667236857110272
1107,983-985 Commonwealth Avenue,0.14303877940241574
1218,100 Ashford Street,0.12302155631449452
1219,664 Malvern Street,
1233,710 Albany Street,inf
1299,10 Buick Street,0.1455320365389363
1301,140 Bay State Road,0.09020778897598607
1305,33 Harry Agganis Way,0.10130876792046083
1306,40-48 Buswell Street,0.0662133142448103
1307,512 Beacon Street,0.06730868799834318
1308,514-522 Park Drive,0.06963605308106688
1311,700 Commonwealth Avenue,0.09670728372583152
1312,722-728 Commonwealth Avenue,0.06799055829228243
1379,213-217 Bay State Road,0.1332001332001332
