,Property Name,Water Intensity (gal/sf)_num
25,10 Buick Street,49.1
34,100 Ashford Street,3.6
35,100 Bay State Road,44.0
36,100 Bay State Road,
52,10-18 Buswell Street,73.5
64,110-112 Cummington Street,3.9
65,111 Cummington Street (664-666 Comm. Ave),10.3
75,120 Ashford Street,5.6
92,140 Bay State Road,50.0
142,2 Cummington Street (23-25 Blandford Street),30.2
155,20-28 Cummington Street (24 Cummington St),47.4
159,213-217 Bay State Road,4.5
163,22-24 Buswell Street,38.7
172,25 Buick Street,22.6
204,"285 Babcock, Case Center",124.3
214,300 Babcock Street,3.9
216,30-38 Cummington Street,78.2
227,33 Harry Agganis Way,29.8
253,40-48 Buswell Street,46.8
285,512 Beacon Street,39.4
286,514-522 Park Drive,30.1
299,560 Harrison Ave,21.7
300,565-575 Commonwealth Avenue,49.7
305,577-599 Commonwealth Avenue (595 Comm Ave),16.9
306,580 Commonwealth Avenue,52.5
307,580 Harrison Ave,16.6
308,582-596 Commonwealth Avenue (590 Comm / 712 Bea),17.2
313,605-615 Commonwealth Avenue (2 Silber Way),5.5
317,610 Beacon Street (30 Bay State Road),32.7
319,622-640 Commonwealth Avenue,29.3
320,631-639 Commonwealth Avenue,18.1
324,64-86 Cummington Street,6.6
327,660 Beacon Street,12542.0
330,664 Malvern Street,10.4
333,6-8 St. Mary's Street,28.7
341,700 Commonwealth Avenue,66.2
344,710 Albany Street,
350,722-728 Commonwealth Avenue,66.1
369,785 Commonwealth Avenue (1 University Road),12.4
386,855 Commonwealth Avenue,0.8
389,871 Commonwealth Avenue,7.9
391,881 Commonwealth Avenue,13.9
396,91 Bay State Road,44.9
398,915 Commonwealth Avenue,2.7
400,925 Commonwealth Avenue,2.5
404,983-985 Commonwealth Avenue,5.0
909,Hotel Commonwealth,40.1
