,Unnamed: 0,Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel,G_EUI,E_EUI,G_Jan,G_Feb,G_Mar,G_Apr,G_May,G_Jun,G_Jul,G_Aug,G_Sep,G_Oct,G_Nov,G_Dec,E_Jan,E_Feb,E_Mar,E_Apr,E_May,E_Jun,E_Jul,E_Aug,E_Sep,E_Oct,E_Nov,E_Dec
52,52,111 Cummington Street (664-666 Comm. Ave),Yes,College/University,111 Cummington Street (664-666 Comm. Ave),02215,93831,131.7,Not applicable to this property type,,College/University,1911.0,1071.1,11.4,12359702.2,0.77,0.23,0%,9.906107789536508,,,,Not Available,30.291,101.40899999999999,7.581128263600498,3.8224160300580645,2.558246453905142,1.7056844326116087,1.2387172670653237,1.165050861020739,0.4894482174863894,2.2749070910432745,1.9410536520889494,2.2165351135159646,1.9093748472750078,3.3884377703290403,14.668765037072637,8.189697140578737,7.030623274446024,7.021731680703277,8.29690330297833,8.587730786443803,8.815886131846412,9.044513943997922,7.977889144688128,7.426402908211452,7.375355756887422,6.973500892145871
54,54,300 Babcock Street,Yes,College/University,300 Babcock Street,02215,88000,68.6,Not applicable to this property type,,College/University,1986.0,420.9,4.8,6035143.2,0.38,0.62,0%,3.090909090909091,,,,2100412001,42.532,26.067999999999998,10.644764032466949,5.367105694444871,3.592068210937027,2.394974424345084,1.7392995544162406,1.6358635641257824,0.6872408169466545,3.1942276054356915,2.72545950713569,3.1122667276769005,2.680978871754007,4.757750990315102,3.7707241663600812,2.105227593809292,1.807278323603023,1.804992667835922,2.1327858010831298,2.207545347464397,2.2661945161176256,2.324965136152983,2.050780642977745,1.9090166652985052,1.895894584016619,1.792594555280681
55,55,605-615 Commonwealth Avenue (2 Silber Way),Yes,College/University,605-615 Commonwealth Avenue (2 Silber Way),02215,85000,92.5,Not applicable to this property type,,College/University,1981.0,521.2,6.1,7866315.9,0.3,0.7,0%,5.381176470588235,,,,0504081000,64.75,27.75,16.205409364766176,8.170791256355342,5.468504106512097,3.6460687006570156,2.6478803288924007,2.4904111205009034,1.046243837517537,4.862838273581328,4.149193620968587,4.738062414583827,4.08147705130424,7.243119924360548,4.0140246899068694,2.241064359682671,1.9238903437158161,1.9214572093158986,2.270400720425689,2.349984018418637,2.4124174398597558,2.4749801491577905,2.1831042980908557,2.0321932047734204,2.018224440174205,1.9082591264783988
56,56,622-640 Commonwealth Avenue,Yes,College/University,622-640 Commonwealth Avenue,02215,84022,100.6,Not applicable to this property type,,College/University,1902.0,602.7,7.2,8453894.8,0.42,0.58,0%,61.62671681226345,,,,2100348000,58.34799999999999,42.251999999999995,14.603138619542499,7.362923988043574,4.927818959177881,3.2855724563078845,2.386077551045773,2.244177730640721,0.9427990028026755,4.382036873929318,3.7389521142281867,4.269597926890149,3.677930856980692,6.526973920410644,6.111732295421442,3.4122324801914306,2.9293050379344376,2.9256003606492014,3.4568998644838267,3.5780729638279003,3.673133753836194,3.7683913968365745,3.323982803709363,3.094206388759876,3.072937623287946,2.9055050310618125
58,58,64-86 Cummington Street,Yes,College/University,64-86 Cummington Street,02215,49163,44.4,Not applicable to this property type,,College/University,1909.0,195.3,4,2184834.7,0.67,0.0,0%,5.526513841710229,,,,2100281000,0.0,29.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.303034467580164,2.402420993579823,2.0624104484633548,2.0598021283866434,2.4338695722963384,2.5191828677447785,2.586111495529658,2.6531787198971513,2.3402878075533975,2.178511115517107,2.163536599866748,2.045653783584844
63,63,785 Commonwealth Avenue (1 University Road),Yes,College/University,785 Commonwealth Avenue (1 University Road),02215,54767,141.3,Not applicable to this property type,,College/University,1931.0,504.7,9.2,7737695.2,0.28,0.72,0%,12.337721620683988,,,,2100392000,101.736,39.56400000000001,25.462139415194624,12.838048173846596,8.59218121668131,5.728748190425362,4.160382287879495,3.912964722089265,1.643871244072342,7.640551576850503,6.519264281434134,7.444502205561394,6.412867170524915,11.380479515440074,5.722914336269384,3.195152083837305,2.7429476597755875,2.7394786677251974,3.2369778055107017,3.350442079449188,3.4394552645265364,3.528652779145183,3.1125167008888877,2.8973582686002026,2.877442585623505,2.720661768648338
65,65,871 Commonwealth Avenue,Yes,College/University,871 Commonwealth Avenue,02215,95968,99.7,Not applicable to this property type,,College/University,1926.0,601.3,6.3,9571688.2,0.22,0.78,0%,7.092989329776592,,,,2100398000,77.766,21.934,19.463009492824813,9.813278036165709,6.5677790014983755,4.378998896915729,3.1801553923806405,2.9910318331563435,1.256559046616043,5.840362643757924,4.983261639046226,5.6905044283015584,4.901932731609662,8.699126857726988,3.1727429747177394,1.771369573523593,1.5206706594256834,1.518747474923781,1.7945574559213355,1.8574612418015992,1.9068095180498696,1.956259985283855,1.725557105381075,1.6062748019279354,1.595233689037154,1.5083155200063856
141,141,915 Commonwealth Avenue,Yes,Fitness Center/Health Club/Gym,915 Commonwealth Avenue,02215,286901,174.3,Not applicable to this property type,,Fitness Center/Gym,2004.0,3728,13,50006070,0.49,0.51,0%,26.346370350748167,,,,2100401000,88.893,85.40700000000001,22.247837137639532,11.217392233995296,7.507517151199689,5.005559614015508,3.6351818699032,3.4189979264044292,1.436351404609211,6.676019809319923,5.696282139749199,6.504719416518921,5.603316440487844,9.943824856157255,12.354083123995533,6.897390406033077,5.921214507594116,5.913725977515062,6.98767979565394,7.232615677876776,7.424768875174853,7.617319985553853,6.719005001334982,6.254541442885894,6.211549360791293,5.873105845590653
192,192,Hotel Commonwealth,Yes,Hotel,500 Commonwealth Ave.,02215,184208,126.4,20,,Hotel,2002.0,1702.1,9.2,23278285.8,0.46,0.54,0%,59.33998523408321,,"The entire first level has been sold as retail space to a new owner. The building is legally a 2 unit condo consisting of a retail unit (approx. 28,000 sf) and a hotel unit (approx. 156,000 sf).",,0503952100,68.25600000000001,58.144000000000005,17.082879098092363,8.613212787548886,5.76460565705158,3.843491354935063,2.7912543587471776,2.6252587095121185,1.10289450770034,5.126145006974011,4.373858838499335,4.994612944707858,4.302475638823511,7.6353110974077785,8.410502759277298,4.695655716374387,4.031087572793241,4.025989476701391,4.757123585168694,4.923872820430026,5.054688274710113,5.185774623157859,4.574213200295306,4.258012313453902,4.228743850432036,3.998335807205767
199,199,"285 Babcock, Case Center",Yes,Indoor Arena,"285 Babcock, Case Center",02215,131857,161.0,Not applicable to this property type,,Indoor Arena,1972.0,1426.1,10.8,21231752.6,0.32,0.68,0%,44.15996117005544,,Shares electric meter with 273-277 Babcock Street,,2100402000,109.48,51.52,27.400281347561407,13.815262189124061,9.246205862253968,6.164812376029809,4.477064685824557,4.2108140459063925,1.769000391218841,8.222139524195889,7.015501430480941,8.011167152874709,6.901005522421441,12.246745472107998,7.45234421708115,4.1607075967874305,3.571849748044643,3.567332447710094,4.215172796984919,4.36292528392534,4.478837711768454,4.594990172418355,4.053100304059131,3.7729223030604193,3.746988221901804,3.5428291962582743
