,Property Name,Year Built
0,111 Cummington Street (664-666 Comm. Ave),1911.0
1,300 Babcock Street,1986.0
2,605-615 Commonwealth Avenue (2 Silber Way),1981.0
3,622-640 Commonwealth Avenue,1902.0
4,64-86 Cummington Street,1909.0
5,785 Commonwealth Avenue (1 University Road),1931.0
6,871 Commonwealth Avenue,1926.0
7,915 Commonwealth Avenue,2004.0
8,Hotel Commonwealth,2002.0
9,"285 Babcock, Case Center",1972.0
10,925 Commonwealth Avenue,2004.0
11,2 Cummington Street (23-25 Blandford Street),1905.0
12,20-28 Cummington Street (24 Cummington St),1983.0
13,30-38 Cummington Street,1917.0
14,582-596 Commonwealth Avenue (590 Comm / 712 Bea),1983.0
15,6-8 St. Mary's Street,1997.0
16,10-18 Buswell Street,1924.0
17,22-24 Buswell Street,1914.0
18,580 Commonwealth Avenue,2004.0
19,560 Harrison Ave,1902.0
20,580 Harrison Ave,1887.0
21,Biosquare - Phase I,2005.0
22,100 Bay State Road,2012.0
23,577-599 Commonwealth Avenue (595 Comm Ave),1996.0
24,983-985 Commonwealth Avenue,1981.0
25,100 Ashford Street,2002.0
26,664 Malvern Street,1962.0
27,710 Albany Street,2000.0
28,10 Buick Street,2000.0
29,140 Bay State Road,1958.0
30,33 Harry Agganis Way,2008.0
31,40-48 Buswell Street,1896.0
32,512 Beacon Street,1926.0
33,514-522 Park Drive,1915.0
34,700 Commonwealth Avenue,1966.0
35,722-728 Commonwealth Avenue,1974.0
36,213-217 Bay State Road,2003.0
