,Property Name,Property Uses
0,10 Buick Street,Residence Hall/Dormitory
1,100 Ashford Street,Other - Stadium
2,100 Bay State Road,"Food Service, Office"
3,100 Bay State Road,"Office, Restaurant"
4,10-18 Buswell Street,Multifamily Housing
5,110-112 Cummington Street,College/University
6,111 Cummington Street (664-666 Comm. Ave),College/University
7,120 Ashford Street,"Distribution Center, Office, Parking"
8,140 Bay State Road,Residence Hall/Dormitory
9,2 Cummington Street (23-25 Blandford Street),Laboratory
10,20-28 Cummington Street (24 Cummington St),Laboratory
11,213-217 Bay State Road,Worship Facility
12,22-24 Buswell Street,Multifamily Housing
13,25 Buick Street,"Office, Parking"
14,"285 Babcock, Case Center",Indoor Arena
15,300 Babcock Street,College/University
16,30-38 Cummington Street,Laboratory
17,33 Harry Agganis Way,Residence Hall/Dormitory
18,40-48 Buswell Street,Residence Hall/Dormitory
19,512 Beacon Street,Residence Hall/Dormitory
20,514-522 Park Drive,Residence Hall/Dormitory
21,560 Harrison Ave,Office
22,565-575 Commonwealth Avenue,Residence Hall/Dormitory
23,577-599 Commonwealth Avenue (595 Comm Ave),"College/University, Office, Parking"
24,580 Commonwealth Avenue,Multifamily Housing
25,580 Harrison Ave,Office
26,582-596 Commonwealth Avenue (590 Comm / 712 Bea),Laboratory
27,605-615 Commonwealth Avenue (2 Silber Way),College/University
28,610 Beacon Street (30 Bay State Road),Residence Hall/Dormitory
29,622-640 Commonwealth Avenue,College/University
30,631-639 Commonwealth Avenue,College/University
31,64-86 Cummington Street,College/University
32,660 Beacon Street,Retail Store
33,664 Malvern Street,Other - Stadium
34,6-8 St. Mary's Street,Laboratory
35,700 Commonwealth Avenue,"Parking, Residence Hall/Dormitory"
36,710 Albany Street,Parking
37,722-728 Commonwealth Avenue,Residence Hall/Dormitory
38,785 Commonwealth Avenue (1 University Road),College/University
39,855 Commonwealth Avenue,College/University
40,871 Commonwealth Avenue,College/University
41,881 Commonwealth Avenue,"Medical Office, Office"
42,91 Bay State Road,Residence Hall/Dormitory
43,915 Commonwealth Avenue,Fitness Center/Gym
44,925 Commonwealth Avenue,"Indoor Arena, Parking"
45,983-985 Commonwealth Avenue,Office
46,Hotel Commonwealth,"Hotel, Parking"
