,Unnamed: 0,Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Renewable (kWh),User Submitted Info,User Submitted Link,Tax Parcel,G_EUI,E_EUI,G_Jan,G_Feb,G_Mar,G_Apr,G_May,G_Jun,G_Jul,G_Aug,G_Sep,G_Oct,G_Nov,G_Dec,E_Jan,E_Feb,E_Mar,E_Apr,E_May,E_Jun,E_Jul,E_Aug,E_Sep,E_Oct,E_Nov,E_Dec
565,565,560 Harrison Ave,Yes,Office,100 Union Park St,2118,"196,000",158.4,82,,Office,1902,"1,653.90",8.4,"31,048,395.00",0.005,0.995,,21.1,,,,03-06529-000,157.608,0.792,23.039976784777814,20.629511054879874,16.1577162585091,15.224075732723067,10.581070347717823,7.57244901638716,6.308377335038822,6.02045869734651,9.475905983165648,7.9271973321711044,11.681610543659575,22.9896509136235,0.06274655522701941,0.0570039391336009,0.055474776589830195,0.05905027175338836,0.05781307305780464,0.06651836077720145,0.07547944637037643,0.07273440861639763,0.09190455777204092,0.06804777517316164,0.05632049624209185,0.06890633928708657
610,610,580 Harrison Ave,Yes,Office,443 Albany St,2118,"77,000",58.4,82,,Office,1887,345,4.5,"4,495,340.70",0.731,0.26899999999999996,,16.5,,,,03-06510-000,15.709599999999998,42.6904,2.2965129898110854,2.0562494725378206,1.6105226849821996,1.5174619316962734,1.0546697041679858,0.7547849415501479,0.6287884154517909,0.6000900839540805,0.9445122876576001,0.790144530794599,1.1643662060090505,2.2914967513873643,3.3821660874539763,3.0726274787740855,2.990202528447584,3.182928940985922,3.1162414319026555,3.5854740264179807,4.06849464309333,3.920531562623057,4.9538413296862815,3.667912552086287,3.0357885262290374,3.7141908922997984
637,637,710 Albany Street,Yes,Parking,710 Albany Street,2118,"312,921",0.9,Not Available,,Parking,2000,23.2,0.1,"271,446.60",1.0,0.0,,,,,,801066055,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07130290366706751,0.06477720356091012,0.06303951885207977,0.06710258153794131,0.06569667392932346,0.07558904633772892,0.08577209814815502,0.08265273706408822,0.10443699746822831,0.07732701724222914,0.06400056391146801,0.0783026582807802
645,645,778-780 Harrison Avenue R (10 Stoughton),Yes,Laboratory,780 Harrison Avenue,2118,"120,633",174.2,Not Available,,Laboratory,1959,"1,795.80",14.9,"21,016,910.40",1.0,0.0,,46.3,,,,801403000,0.0,174.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.801073132003511,12.537987622567266,12.201649093369216,12.988077448788196,12.715956220542383,14.630679857813753,16.601666108231782,15.997896440626851,20.21436106551708,14.967073781773683,12.38766470375303,15.155914525013232
649,649,801 Massachusetts Avenue (EPL),Yes,Office,801 Massachusetts Avenue,2118,"206,851",116.4,52,,Office,2007,"1,797.60",8.7,"24,078,432.30",0.6659999999999999,0.33399999999999996,,17.0,,Boston Parcel ID: 0800900050,,800900020,38.8776,77.52239999999999,5.683334611491028,5.088738382488184,3.985668428073533,3.7553647448512404,2.6100618023858844,1.86791688162716,1.5561048340230526,1.4850831496621915,2.3374478608390485,1.955423626980961,2.8815350875093872,5.670920590068327,6.1417469102665265,5.579649205922553,5.429971995842742,5.779947963352113,5.6588487055762045,6.510938095346618,7.38806544608948,7.119376159752302,8.995785213923313,6.660639957176648,5.512752573078208,6.744677773673282
1636,1636,10 Buick Street,Yes,Residence Hall/Dormitory,10 Buick Street,2215,"384,971",54.8,83,,Residence Hall/Dormitory,2000,"1,329.30",3.5,"21,092,700.10",0.305,0.693,,39.2,,,,2100401000,37.9764,16.714,5.551592396131136,4.970779171263769,3.893278867314127,3.6683137255480953,2.5495594129299977,1.824617740380725,1.5200336342467913,1.4506582640088699,2.283264783380868,1.910096040590977,2.814739826977269,5.539466137227371,1.3241741465459627,1.2029846447967238,1.1707139089929568,1.2461694975835012,1.2200602311719024,1.40377257832089,1.5928831649425144,1.5349531636546336,1.9395110840932974,1.4360486290962418,1.1885615835736403,1.4541673672277333
1637,1637,100 Ashford Street,Yes,Other - Stadium,100 Ashford Street,2215,"96,292",100.5,Not Available,,Other - Stadium,2002,656.5,6.8,"9,681,813.20",0.45399999999999996,0.546,,3.7,,,,2100415000,54.873000000000005,45.626999999999995,8.021627367336132,7.182396579579866,5.625490865014275,5.30043340237623,3.6839187934008435,2.6364333972654475,2.1963326068828057,2.0960904909617217,3.299143374792197,2.7599430181730944,4.067084255635703,8.004105848581686,3.6148195395747655,3.2839882965262723,3.1958934740709366,3.401877208701831,3.3306023793036013,3.832112685835064,4.348359469117632,4.190218260025725,5.2946076483142805,3.920222017456876,3.2446152550983896,3.9696837659746196
1638,1638,100 Bay State Road,Yes,Office,100 Bay State Road,2215,"123,678",153.7,Not Available,,"Food Service, Office",2012,"1,311.50",10.6,"19,014,691.50",0.491,0.51,,33.0,,,,504028000,78.387,75.46669999999999,11.459029111646482,10.260173868451275,8.036107966319937,7.571757933994232,5.26253972733971,3.766189286378485,3.137497932602965,2.9943003902650935,4.712881594223679,3.942624849480333,5.809898010797949,11.433999328499857,5.978883155746092,5.431690875522372,5.2859827303936076,5.626678211277061,5.508790202691193,6.338284314728319,7.192152443685966,6.930588124660472,8.757239507595049,6.484016457904592,5.366568173930647,6.565825801864615
1640,1640,10-18 Buswell Street,Yes,Multifamily Housing,10-18 Buswell Street,2215,"66,456",130.7,11,,Multifamily Housing,1924,484.8,7.3,"8,684,714.60",0.084,0.9159999999999999,,65.5,,,,2100201000,119.72119999999998,10.9788,17.501482593813392,15.670459741278894,12.273623037715213,11.564416879933027,8.037526263344468,5.752136206161428,4.791930007383189,4.573223058453637,7.198028243437966,6.021607895819521,8.87351170130689,17.463254371352352,0.8698003542000009,0.7901955138383554,0.7689980773035703,0.8185620246541667,0.801411826372507,0.9220855799251759,1.0463052346099604,1.0082531885324575,1.2739921197824275,0.9432865076655391,0.7807215456346944,0.955188027481144
1652,1652,110-112 Cummington Street,Yes,College/University,110-112 Cummington Street,2215,"48,901",4.3,Not Available,,College/University,1923,11.1,0.2,"209,573.30",0.0,1.0,,4.0,,,,2100277000,4.3,0.0,0.6285968997420474,0.5628324547991438,0.44082901827057713,0.4153566167371528,0.2886820624282183,0.20659821056332664,0.1721106957810957,0.16425544641509307,0.2585299967489739,0.21627676595309722,0.3187079674745963,0.6272238650866774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
