,Property Name,Year Built,Property Uses,Water Intensity (gal/sf)_num,GHGI/GUI,E_Jan,E_Feb,E_Mar,E_Apr,E_May,E_Jun,E_Jul,E_Aug,E_Sep,E_Oct,E_Nov,E_Dec,G_Jan,G_Feb,G_Mar,G_Apr,G_May,G_Jun,G_Jul,G_Aug,G_Sep,G_Oct,G_Nov,G_Dec,Type Index,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
565,560 Harrison Ave,1902,Office,21.1,0.05329678696512868,0.06274655522701941,0.0570039391336009,0.055474776589830195,0.05905027175338836,0.05781307305780464,0.06651836077720145,0.07547944637037643,0.07273440861639763,0.09190455777204092,0.06804777517316164,0.05632049624209185,0.06890633928708657,23.039976784777814,20.629511054879874,16.1577162585091,15.224075732723067,10.581070347717823,7.57244901638716,6.308377335038822,6.02045869734651,9.475905983165648,7.9271973321711044,11.681610543659575,22.9896509136235,5,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
610,580 Harrison Ave,1887,Office,16.5,0.28644905026226003,3.3821660874539763,3.0726274787740855,2.990202528447584,3.182928940985922,3.1162414319026555,3.5854740264179807,4.06849464309333,3.920531562623057,4.9538413296862815,3.667912552086287,3.0357885262290374,3.7141908922997984,2.2965129898110854,2.0562494725378206,1.6105226849821996,1.5174619316962734,1.0546697041679858,0.7547849415501479,0.6287884154517909,0.6000900839540805,0.9445122876576001,0.790144530794599,1.1643662060090505,2.2914967513873643,5,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
649,801 Massachusetts Avenue (EPL),2007,Office,17.0,0.22377924563244642,6.1417469102665265,5.579649205922553,5.429971995842742,5.779947963352113,5.6588487055762045,6.510938095346618,7.38806544608948,7.119376159752302,8.995785213923313,6.660639957176648,5.512752573078208,6.744677773673282,5.683334611491028,5.088738382488184,3.985668428073533,3.7553647448512404,2.6100618023858844,1.86791688162716,1.5561048340230526,1.4850831496621915,2.3374478608390485,1.955423626980961,2.8815350875093872,5.670920590068327,5,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1636,10 Buick Street,2000,Residence Hall/Dormitory,39.2,0.092162500921625,1.3241741465459627,1.2029846447967238,1.1707139089929568,1.2461694975835012,1.2200602311719024,1.40377257832089,1.5928831649425144,1.5349531636546336,1.9395110840932974,1.4360486290962418,1.1885615835736403,1.4541673672277333,5.551592396131136,4.970779171263769,3.893278867314127,3.6683137255480953,2.5495594129299977,1.824617740380725,1.5200336342467913,1.4506582640088699,2.283264783380868,1.910096040590977,2.814739826977269,5.539466137227371,3,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1637,100 Ashford Street,2002,Other - Stadium,3.7,0.12392251198221346,3.6148195395747655,3.2839882965262723,3.1958934740709366,3.401877208701831,3.3306023793036013,3.832112685835064,4.348359469117632,4.190218260025725,5.2946076483142805,3.920222017456876,3.2446152550983896,3.9696837659746196,8.021627367336132,7.182396579579866,5.625490865014275,5.30043340237623,3.6839187934008435,2.6364333972654475,2.1963326068828057,2.0960904909617217,3.299143374792197,2.7599430181730944,4.067084255635703,8.004105848581686,2,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1638,100 Bay State Road,2012,"Food Service, Office",33.0,0.1352265043948614,5.978883155746092,5.431690875522372,5.2859827303936076,5.626678211277061,5.508790202691193,6.338284314728319,7.192152443685966,6.930588124660472,8.757239507595049,6.484016457904592,5.366568173930647,6.565825801864615,11.459029111646482,10.260173868451275,8.036107966319937,7.571757933994232,5.26253972733971,3.766189286378485,3.137497932602965,2.9943003902650935,4.712881594223679,3.942624849480333,5.809898010797949,11.433999328499857,8,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1640,10-18 Buswell Street,1924,Multifamily Housing,65.5,0.06097499858003429,0.8698003542000009,0.7901955138383554,0.7689980773035703,0.8185620246541667,0.801411826372507,0.9220855799251759,1.0463052346099604,1.0082531885324575,1.2739921197824275,0.9432865076655391,0.7807215456346944,0.955188027481144,17.501482593813392,15.670459741278894,12.273623037715213,11.564416879933027,8.037526263344468,5.752136206161428,4.791930007383189,4.573223058453637,7.198028243437966,6.021607895819521,8.87351170130689,17.463254371352352,3,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1652,110-112 Cummington Street,1923,College/University,4.0,0.04651162790697675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6285968997420474,0.5628324547991438,0.44082901827057713,0.4153566167371528,0.2886820624282183,0.20659821056332664,0.1721106957810957,0.16425544641509307,0.2585299967489739,0.21627676595309722,0.3187079674745963,0.6272238650866774,1,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1654,111 Cummington Street (664-666 Comm. Ave),1911,College/University,11.6,0.0881803032059583,7.26450619904273,6.5996526455938325,6.422613272860542,6.836567579775718,6.6933304321586435,7.70118841532928,8.738661494229715,8.420853708475793,10.640284988390528,7.878256946345204,6.520526785949489,7.977657531848543,32.658664214902764,29.241881654328385,22.903210133222036,21.57979506584156,14.998436272240074,10.73378120216035,8.941987183860906,8.533868799131547,13.431889907139908,11.236629196939779,16.55842797926347,32.58732839096925,1,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
1662,120 Ashford Street,1958,"Distribution Center, Office, Parking",5.6,0.09459701670882043,3.078637549088122,2.7968781206823534,2.7218503010852646,2.897280707221299,2.8365779906159623,3.2636998549411955,3.703372351509762,3.5686880445786855,4.509264635574864,3.338740031576923,2.7633452368316864,3.380865176293882,11.744646000650205,10.51590922895978,8.236408370016926,7.760484389292151,5.393708800263489,3.860061747727003,3.21570022967671,3.0689334812431883,4.8303504099558054,4.040894976298743,5.954710017042569,11.718992348873426,7,35.15,28.6,34.05,51.65,56.35,69.5,72.5,72.0,67.1,61.35,43.75,30.75
