,Temperature,WI,GHGI,Age,Uses_College,Uses_Sports,Uses_ResidentHousing,Uses_Laboratory,Uses_Office,Uses_Hotel,Uses_Distribution,Uses_Food,Uses_Worship,Uses_Medical,Y_Electric
0,26.2,0.7607119051174647,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,14.668765037072637
1,19.1,0.7928419520012792,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,8.189697140578737
2,33.3,0.8085002659889607,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,7.030623274446024
3,48.05,0.8370843148187467,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,7.021731680703277
4,62.3,0.8481925667872807,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,8.29690330297833
5,64.65,0.8142958757116743,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,8.587730786443803
6,73.85,0.901789247051935,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,8.815886131846412
7,74.65,0.8980780232821273,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,9.044513943997922
8,69.2,0.900327634950812,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,7.977889144688128
9,54.0,0.8200660660934984,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,7.426402908211452
10,48.55,0.7801195718862877,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,7.375355756887422
11,45.25,0.7441003658464418,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,6.973500892145871
0,26.2,0.23735773858365808,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,3.7707241663600812
1,19.1,0.2473829731272814,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,2.105227593809292
2,33.3,0.2522686886960092,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,1.807278323603023
3,48.05,0.2611874990158703,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,1.804992667835922
4,62.3,0.2646535017813477,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,2.1327858010831298
5,64.65,0.25407703796495396,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,2.207545347464397
6,73.85,0.281376766840865,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,2.2661945161176256
7,74.65,0.28021878880022494,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,2.324965136152983
8,69.2,0.2809207138454074,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,2.050780642977745
9,54.0,0.2558774558774559,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,1.9090166652985052
10,48.55,0.24341332922769007,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,1.895894584016619
11,45.25,0.2321745971483275,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,1.792594555280681
0,26.2,0.41323243111066343,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,4.0140246899068694
1,19.1,0.4306860522465757,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,2.241064359682671
2,33.3,0.43919193090141895,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,1.9238903437158161
3,48.05,0.45471930191987886,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,1.9214572093158986
4,62.3,0.46075350479677263,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,2.270400720425689
5,64.65,0.4423402106632766,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,2.349984018418637
6,73.85,0.48986818847167063,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,2.4124174398597558
7,74.65,0.48785218476451614,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,2.4749801491577905
8,69.2,0.48907421440892135,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,2.1831042980908557
9,54.0,0.4454746821805646,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,2.0321932047734204
10,48.55,0.4237750258395155,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,2.018224440174205
11,45.25,0.40420874328446194,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,1.9082591264783988
0,26.2,4.732451750818761,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,6.111732295421442
1,19.1,4.932335432941125,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,3.4122324801914306
2,33.3,5.029747100810884,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,2.9293050379344376
3,48.05,5.207570835420533,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,2.9256003606492014
4,62.3,5.276676190711257,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,3.4568998644838267
5,64.65,5.065802068788653,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,3.5780729638279003
6,73.85,5.61010557659338,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,3.673133753836194
7,74.65,5.587017746221651,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,3.7683913968365745
8,69.2,5.601012766686705,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,3.323982803709363
9,54.0,5.101698900941956,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,3.094206388759876
10,48.55,4.853188452796945,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,3.072937623287946
11,45.25,4.629109989531606,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,2.9055050310618125
0,26.2,0.4243932089681138,0.3333333333333333,1909.0,1,0,0,0,0,0,0,0,0,0,4.303034467580164
1,19.1,0.44231822579720154,0.3333333333333333,1909.0,1,0,0,0,0,0,0,0,0,0,2.402420993579823
