,Temperature,WI,GHGI,Age,Uses_College,Uses_Sports,Uses_ResidentHousing,Uses_Laboratory,Uses_Office,Uses_Hotel,Uses_Distribution,Uses_Food,Uses_Worship,Uses_Medical,Y_Gas
0,26.2,0.7607119051174647,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,7.581128263600498
1,19.1,0.7928419520012792,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,3.8224160300580645
2,33.3,0.8085002659889607,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,2.558246453905142
3,48.05,0.8370843148187467,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,1.7056844326116087
4,62.3,0.8481925667872807,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,1.2387172670653237
5,64.65,0.8142958757116743,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,1.165050861020739
6,73.85,0.901789247051935,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,0.4894482174863894
7,74.65,0.8980780232821273,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,2.2749070910432745
8,69.2,0.900327634950812,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,1.9410536520889494
9,54.0,0.8200660660934984,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,2.2165351135159646
10,48.55,0.7801195718862877,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,1.9093748472750078
11,45.25,0.7441003658464418,0.9500000000000001,1911.0,1,0,0,0,0,0,0,0,0,0,3.3884377703290403
0,26.2,0.23735773858365808,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,10.644764032466949
1,19.1,0.2473829731272814,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,5.367105694444871
2,33.3,0.2522686886960092,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,3.592068210937027
3,48.05,0.2611874990158703,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,2.394974424345084
4,62.3,0.2646535017813477,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,1.7392995544162406
5,64.65,0.25407703796495396,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,1.6358635641257824
6,73.85,0.281376766840865,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,0.6872408169466545
7,74.65,0.28021878880022494,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,3.1942276054356915
8,69.2,0.2809207138454074,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,2.72545950713569
9,54.0,0.2558774558774559,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,3.1122667276769005
10,48.55,0.24341332922769007,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,2.680978871754007
11,45.25,0.2321745971483275,0.39999999999999997,1986.0,1,0,0,0,0,0,0,0,0,0,4.757750990315102
0,26.2,0.41323243111066343,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,16.205409364766176
1,19.1,0.4306860522465757,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,8.170791256355342
2,33.3,0.43919193090141895,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,5.468504106512097
3,48.05,0.45471930191987886,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,3.6460687006570156
4,62.3,0.46075350479677263,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,2.6478803288924007
5,64.65,0.4423402106632766,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,2.4904111205009034
6,73.85,0.48986818847167063,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,1.046243837517537
7,74.65,0.48785218476451614,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,4.862838273581328
8,69.2,0.48907421440892135,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,4.149193620968587
9,54.0,0.4454746821805646,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,4.738062414583827
10,48.55,0.4237750258395155,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,4.08147705130424
11,45.25,0.40420874328446194,0.5083333333333333,1981.0,1,0,0,0,0,0,0,0,0,0,7.243119924360548
0,26.2,4.732451750818761,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,14.603138619542499
1,19.1,4.932335432941125,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,7.362923988043574
2,33.3,5.029747100810884,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,4.927818959177881
3,48.05,5.207570835420533,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,3.2855724563078845
4,62.3,5.276676190711257,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,2.386077551045773
5,64.65,5.065802068788653,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,2.244177730640721
6,73.85,5.61010557659338,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,0.9427990028026755
7,74.65,5.587017746221651,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,4.382036873929318
8,69.2,5.601012766686705,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,3.7389521142281867
9,54.0,5.101698900941956,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,4.269597926890149
10,48.55,4.853188452796945,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,3.677930856980692
11,45.25,4.629109989531606,0.6,1902.0,1,0,0,0,0,0,0,0,0,0,6.526973920410644
0,26.2,0.9474409039636122,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,25.462139415194624
1,19.1,0.9874577887516766,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,12.838048173846596
2,33.3,1.00695968830029,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,8.59218121668131
3,48.05,1.0425601526548613,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,5.728748190425362
4,62.3,1.0563951041203552,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,4.160382287879495
5,64.65,1.0141779238475042,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,3.912964722089265
6,73.85,1.1231479534681665,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,1.643871244072342
7,74.65,1.1185257500037225,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,7.640551576850503
8,69.2,1.1213275651174437,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,6.519264281434134
9,54.0,1.0213645004668797,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,7.444502205561394
10,48.55,0.971612495368428,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,6.412867170524915
11,45.25,0.9267517946210488,0.7666666666666666,1931.0,1,0,0,0,0,0,0,0,0,0,11.380479515440074
0,26.2,0.544686322889755,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,19.463009492824813
1,19.1,0.56769213754007,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,9.813278036165709
2,33.3,0.5789038320215525,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,6.5677790014983755
3,48.05,0.5993706346910771,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,4.378998896915729
4,62.3,0.6073243854839472,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,3.1801553923806405
5,64.65,0.5830536150439195,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,2.9910318331563435
6,73.85,0.6457007780394766,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,1.256559046616043
7,74.65,0.6430434608409432,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,5.840362643757924
8,69.2,0.6446542318825199,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,4.983261639046226
9,54.0,0.5871851972635567,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,5.6905044283015584
10,48.55,0.5585826357738654,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,4.901932731609662
11,45.25,0.5327920983059095,0.525,1926.0,1,0,0,0,0,0,0,0,0,0,8.699126857726988
0,26.2,2.023195992639775,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,22.247837137639532
1,19.1,2.108649344508409,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,11.217392233995296
2,33.3,2.1502943324443886,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,7.507517151199689
3,48.05,2.2263167170775207,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,5.005559614015508
4,62.3,2.255860320532104,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,3.6351818699032
5,64.65,2.165708386420693,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,3.4189979264044292
6,73.85,2.3984065170629707,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,1.436351404609211
7,74.65,2.388536114078144,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,6.676019809319923
8,69.2,2.394519200818946,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,5.696282139749199
9,54.0,2.1810548348971013,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,6.504719416518921
10,48.55,2.0748127918104258,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,5.603316440487844
11,45.25,1.9790157984576926,1.0833333333333333,2004.0,0,1,0,0,0,0,0,0,0,0,9.943824856157255
0,26.2,4.5568485803013585,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,17.082879098092363
1,19.1,4.749315344055921,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,8.613212787548886
2,33.3,4.843112437784409,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,5.76460565705158
3,48.05,5.014337814241692,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,3.843491354935063
4,62.3,5.080878934305573,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,2.7912543587471776
5,64.65,4.877829543904695,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,2.6252587095121185
6,73.85,5.401936031913559,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,1.10289450770034
7,74.65,5.379704902555832,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,5.126145006974011
8,69.2,5.393180621378837,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,4.373858838499335
9,54.0,4.91239438201568,0.7666666666666666,2002.0,0,0,0,0,0,1,0,0,0,0,4.994612944707858
