,Property Name,Year Built,Water Intensity (gal/sf)_num,GHGI/GUI,E_Jan,E_Feb,E_Mar,E_Apr,E_May,E_Jun,E_Jul,E_Aug,E_Sep,E_Oct,E_Nov,E_Dec,G_Jan,G_Feb,G_Mar,G_Apr,G_May,G_Jun,G_Jul,G_Aug,G_Sep,G_Oct,G_Nov,G_Dec,Uses_College,Uses_Sports,Uses_ResidentHousing,Uses_Laboratory,Uses_Office,Uses_Hotel,Uses_Distribution,Uses_Food,Uses_Worship,Uses_Medical,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
52,111 Cummington Street (664-666 Comm. Ave),1911.0,9.906107789536508,0.37634941071605427,14.668765037072637,8.189697140578737,7.030623274446024,7.021731680703277,8.29690330297833,8.587730786443803,8.815886131846412,9.044513943997922,7.977889144688128,7.426402908211452,7.375355756887422,6.973500892145871,7.581128263600498,3.8224160300580645,2.558246453905142,1.7056844326116087,1.2387172670653237,1.165050861020739,0.4894482174863894,2.2749070910432745,1.9410536520889494,2.2165351135159646,1.9093748472750078,3.3884377703290403,1,0,0,0,0,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
54,300 Babcock Street,1986.0,3.0909090909090913,0.11285620238878963,3.7707241663600812,2.105227593809292,1.807278323603023,1.804992667835922,2.1327858010831298,2.207545347464397,2.2661945161176256,2.324965136152983,2.050780642977745,1.9090166652985052,1.895894584016619,1.792594555280681,10.644764032466949,5.367105694444871,3.592068210937027,2.394974424345084,1.7392995544162406,1.6358635641257824,0.6872408169466545,3.1942276054356915,2.72545950713569,3.1122667276769005,2.680978871754007,4.757750990315102,1,0,0,0,0,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
55,605-615 Commonwealth Avenue (2 Silber Way),1981.0,5.381176470588236,0.0942084942084942,4.0140246899068694,2.241064359682671,1.9238903437158161,1.9214572093158986,2.270400720425689,2.349984018418637,2.4124174398597558,2.4749801491577905,2.1831042980908557,2.0321932047734204,2.018224440174205,1.9082591264783988,16.205409364766176,8.170791256355342,5.468504106512097,3.6460687006570156,2.6478803288924007,2.4904111205009034,1.046243837517537,4.862838273581328,4.149193620968587,4.738062414583827,4.08147705130424,7.243119924360548,1,0,0,0,0,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
56,622-640 Commonwealth Avenue,1902.0,61.62671681226345,0.12339754575992323,6.111732295421442,3.4122324801914306,2.9293050379344376,2.9256003606492014,3.4568998644838267,3.5780729638279003,3.673133753836194,3.7683913968365745,3.323982803709363,3.094206388759876,3.072937623287946,2.9055050310618125,14.603138619542499,7.362923988043574,4.927818959177881,3.2855724563078845,2.386077551045773,2.244177730640721,0.9427990028026755,4.382036873929318,3.7389521142281867,4.269597926890149,3.677930856980692,6.526973920410644,1,0,0,0,0,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
63,785 Commonwealth Avenue (1 University Road),1931.0,12.337721620683988,0.0904301328929779,5.722914336269384,3.195152083837305,2.7429476597755875,2.7394786677251974,3.2369778055107017,3.350442079449188,3.4394552645265364,3.528652779145183,3.1125167008888877,2.8973582686002026,2.877442585623505,2.720661768648338,25.462139415194624,12.838048173846596,8.59218121668131,5.728748190425362,4.160382287879495,3.912964722089265,1.643871244072342,7.640551576850503,6.519264281434134,7.444502205561394,6.412867170524915,11.380479515440074,1,0,0,0,0,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
65,871 Commonwealth Avenue,1926.0,7.092989329776592,0.0810122675719466,3.1727429747177394,1.771369573523593,1.5206706594256834,1.518747474923781,1.7945574559213355,1.8574612418015992,1.9068095180498696,1.956259985283855,1.725557105381075,1.6062748019279354,1.595233689037154,1.5083155200063856,19.463009492824813,9.813278036165709,6.5677790014983755,4.378998896915729,3.1801553923806405,2.9910318331563435,1.256559046616043,5.840362643757924,4.983261639046226,5.6905044283015584,4.901932731609662,8.699126857726988,1,0,0,0,0,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
141,915 Commonwealth Avenue,2004.0,26.34637035074817,0.14624323625032343,12.354083123995533,6.897390406033077,5.921214507594116,5.913725977515062,6.98767979565394,7.232615677876776,7.424768875174853,7.617319985553853,6.719005001334982,6.254541442885894,6.211549360791293,5.873105845590653,22.247837137639532,11.217392233995296,7.507517151199689,5.005559614015508,3.6351818699032,3.4189979264044292,1.436351404609211,6.676019809319923,5.696282139749199,6.504719416518921,5.603316440487844,9.943824856157255,0,1,0,0,0,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
192,Hotel Commonwealth,2002.0,59.339985234083215,0.13478668541959676,8.410502759277298,4.695655716374387,4.031087572793241,4.025989476701391,4.757123585168694,4.923872820430026,5.054688274710113,5.185774623157859,4.574213200295306,4.258012313453902,4.228743850432036,3.998335807205767,17.082879098092363,8.613212787548886,5.76460565705158,3.843491354935063,2.7912543587471776,2.6252587095121185,1.10289450770034,5.126145006974011,4.373858838499335,4.994612944707858,4.302475638823511,7.6353110974077785,0,0,0,0,0,1,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
199,"285 Babcock, Case Center",1972.0,44.15996117005544,0.09864815491413957,7.45234421708115,4.1607075967874305,3.571849748044643,3.567332447710094,4.215172796984919,4.36292528392534,4.478837711768454,4.594990172418355,4.053100304059131,3.7729223030604193,3.746988221901804,3.5428291962582743,27.400281347561407,13.815262189124061,9.246205862253968,6.164812376029809,4.477064685824557,4.2108140459063925,1.769000391218841,8.222139524195889,7.015501430480941,8.011167152874709,6.901005522421441,12.246745472107998,0,1,0,0,0,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
200,925 Commonwealth Avenue,2004.0,24.93067576701782,0.14906027219701878,11.159711885632973,6.230562715297949,5.348761802438746,5.341997250404382,6.312123083994303,6.53337899174767,6.706955152619105,6.880890757027875,6.069423300818362,5.649863270207907,5.611027587727565,5.305304202083189,19.308839111841092,9.735545103132274,6.515754313782368,4.34431197306083,3.1549647470895557,2.967339273307254,1.2466055917293897,5.794099966128178,4.943788229462958,5.645428807492545,4.863103544526984,8.630219338446585,0,1,0,0,0,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
